mode,tpb,avg_ms,min_ms,max_ms,gpu_mem_MB
barrett,1,0.481751,0.372256,1.01798,1092.38
barrett,2,0.464874,0.367968,1.03427,1092.38
barrett,4,0.500856,0.367552,1.1728,1092.38
barrett,8,0.481384,0.377792,2.10608,1092.38
barrett,16,0.528291,0.415456,1.55635,1092.38
montgomery,1,0.471679,0.34224,2.35267,1092.38
montgomery,2,0.497979,0.379328,1.02253,1092.38
montgomery,4,0.523732,0.398624,1.2279,1092.38
montgomery,8,0.449438,0.359904,1.17302,1092.38
montgomery,16,0.489434,0.37376,1.02877,1092.38
